Starting audit...
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:1: Using the '.*' form of import should be avoided - java.io.*. [AvoidStarImport]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:2: Using the '.*' form of import should be avoided - java.util.*. [AvoidStarImport]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:3: Using the '.*' form of import should be avoided - java.text.*. [AvoidStarImport]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:3: Wrong lexicographical order for 'java.text.*' import. Should be before 'java.util.*'. [CustomImportOrder]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:4: Using the '.*' form of import should be avoided - java.math.*. [AvoidStarImport]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:4: Wrong lexicographical order for 'java.math.*' import. Should be before 'java.util.*'. [CustomImportOrder]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:5: Using the '.*' form of import should be avoided - java.util.regex.*. [AvoidStarImport]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:7: The name of the outer type and the file do not match. [OuterTypeFilename]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:9: 'member def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:39: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:40: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:41: 'if' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:42: 'if' has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:43: 'if' child has incorrect indentation level 16, expected level should be 8. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:44: 'if' child has incorrect indentation level 16, expected level should be 8. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:45: 'if' child has incorrect indentation level 16, expected level should be 8. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:46: 'if rcurly' has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:47: 'if' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:48: 'if' has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:49: 'if' child has incorrect indentation level 16, expected level should be 8. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:50: 'if rcurly' has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:51: 'if rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:52: 'method def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:54: 'method def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:54:5: Missing a Javadoc comment. [JavadocMethod]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:55: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:56: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:56: Distance between variable 'm' declaration and its first usage is 5, but allowed 3.  Consider making that variable final if you still need to store its value in advance (before method calls that might have side effects on the original value). [VariableDeclarationUsageDistance]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:57: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:58: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:59: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:60: 'for' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:61: 'for' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:62: 'for' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:63: 'for rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:64: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:65: 'for' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:66: 'for' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:67: 'for' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:68: 'for' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:69: 'for' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:70: 'for rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:71: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:77: 'for' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:78: 'if' has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:79: 'if' child has incorrect indentation level 16, expected level should be 8. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:80: 'if' child has incorrect indentation level 16, expected level should be 8. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:81: 'if' child has incorrect indentation level 16, expected level should be 8. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:82: 'if rcurly' has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:83: 'for rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:84: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:85: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:86: 'for' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:87: 'for' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:88: 'for' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:89: 'for rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:90: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:91: 'for' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:92: 'if' has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:93: 'if' child has incorrect indentation level 16, expected level should be 8. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:94: 'if' child has incorrect indentation level 16, expected level should be 8. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:95: 'if rcurly' has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:96: 'for rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:97: 'while' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:98: 'while' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:99: 'while rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:100: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:101: 'method def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:103: 'method def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:104: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:105: 'for' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:106: 'if' has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:107: 'if' child has incorrect indentation level 16, expected level should be 8. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:108: 'if' child has incorrect indentation level 16, expected level should be 8. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:109: 'if' child has incorrect indentation level 16, expected level should be 8. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:110: 'if rcurly' has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:111: 'for rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:112: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:113: 'method def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:115: 'class def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:116: 'member def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:116:21: Member name 'x' must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$'. [MemberName]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:117: 'member def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:117:21: Member name 'y' must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$'. [MemberName]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:118: 'member def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:118:21: Member name 'd' must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$'. [MemberName]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:120: 'ctor def modifier' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:121: 'ctor def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:122: 'ctor def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:123: 'ctor def' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:124: 'ctor def rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:125: 'class def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:127: 'method def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:128: 'if' construct must use '{}'s. [NeedBraces]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:128: 'if' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:129: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:130: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:131: 'if' construct must use '{}'s. [NeedBraces]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:131: 'if' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:132: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:133: 'method def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:135: 'method def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:136: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:137: 'method def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:139: 'method def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:139:5: Missing a Javadoc comment. [JavadocMethod]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:140: 'if' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:141: 'if' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:142: 'if rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:143: 'else' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:144: 'else rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:145: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:148: Comment has incorrect indentation level 0, expected is 8, indentation should be the same level as line 149. [CommentsIndentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:149: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:150: 'for' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:151: Comment has incorrect indentation level 0, expected is 12, indentation should be the same level as line 152. [CommentsIndentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:152: 'for' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:153: 'for rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:155: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:156: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:157: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:158: 'method def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:160: 'method def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:161: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:162: 'for' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:163: 'for' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:164: 'for rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:165: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:166: 'method def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:168: 'method def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:169: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:170: 'for' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:171: 'for' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:172: 'for rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:173: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:174: 'method def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:176: 'method def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:177: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:178: 'method def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:180: 'method def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:181: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:182: 'method def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:184: 'method def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
